trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TB1-TB3-3-16-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB2-5-20-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB2-4-12-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
TB1-TB28-4-2-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB28,0,0
TB1-TB2-5-12-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB3-5-19-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1536742201930,TB3,0,0
TB1-TB2-4-10-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
TB1-TB2-5-8-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB3-4-5-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB3-2-7-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
TB1-TB3-3-14-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB2-1-18-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB3-4-11-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB3-3-20-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB3-5-7-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1536742201930,TB3,0,0
TB1-TB2-4-4-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
TB1-TB3-3-8-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB3-3-6-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB2-5-4-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB2-2-18-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB2-5-14-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB2-2-12-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB3-2-19-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
TB1-TB3-4-21-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB3-1-3-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB28-1-2-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB28,0,0
TB1-TB2-3-21-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB3-5-11-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1536742201930,TB3,0,0
TB1-TB3-5-17-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1536742201930,TB3,0,0
TB33-TB889-1-21-8123784820,TB33,8123784820,АВТОСТАНЦИЯ ГЕО МИЛЕВ,,,,TB889,0,0
TB1-TB2-2-6-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB3-1-15-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB28-5-2-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB28,0,0
TB1-TB3-4-13-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB2-1-14-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB3-1-13-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
